xvals,0.2,1,optimal
0,1.0,1.0,1.0
1,0.7649597612712398,-0.17520119364380138,2.220446049250313e-16
2,0.5966042364916045,0.0008976901310645824,3.310282531658405e-17
3,0.47007789937568367,-1.2056690682719223e-10,4.935031158763128e-18
4,0.3725613740028475,0.0,7.357236823456774e-19
5,0.2963133548047576,0.0,1.0968306366275244e-19
6,0.23617964241863199,0.0,1.63517564312888e-20
7,0.18850334435373695,0.0,2.437750455351247e-21
8,0.15057900560951065,0.0,3.6342440076921034e-22
9,0.12034926759601719,0.0,5.417998991017688e-23
10,0.096221267572629,0.0,8.077254307783847e-24
11,0.07694730471762747,0.0,1.2041721908914199e-24
12,0.061542652732566566,0.0,1.7952024414025e-25
13,0.04922635095850296,0.0,2.676321401536246e-26
14,0.03937710405337232,0.0,3.989910039741862e-27
15,0.03149964787098313,0.0,5.9482325688144e-28
16,0.025198676417538382,0.0,8.867736450266803e-29
17,0.02015840776754568,0.0,1.3220187482861702e-29
18,0.016126453155192667,0.0,1.9708902949721165e-30
19,0.012901022726150187,0.0,2.9382401420939907e-31
20,0.010320746607003991,0.0,4.3803834006573446e-32
