Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
0,000	-1,000	-7,689E-4
0,050	-1,000	-0,002
0,100	-1,000	-6,993E-4
0,150	-1,000	-0,002
0,200	-1,000	-7,714E-4
0,250	-1,000	-0,002
0,300	-1,000	-6,652E-4
0,350	-1,000	-0,002
0,400	-1,000	-1,793E-4
0,450	-1,000	-0,002
0,500	-1,000	-6,810E-4
0,550	-1,000	-0,002
0,600	-1,000	-5,541E-4
0,650	-1,000	-0,002
0,700	-1,000	-4,430E-4
0,750	-1,000	-0,002
0,800	-1,000	-3,026E-4
0,850	-1,000	-0,002
0,900	-1,000	-6,005E-4
0,950	-1,000	-0,002
1,000	-1,000	-4,540E-4
1,050	-1,000	-0,001
1,100	-1,000	-6,725E-4
1,150	-1,000	-0,002
1,200	-1,000	-6,981E-4
1,250	-1,000	-0,002
1,300	-1,000	-5,333E-4
1,350	-1,000	-0,002
1,400	-1,000	-7,885E-4
1,450	-1,000	-0,002
1,500	-1,000	-5,065E-4
1,550	-1,000	-0,002
1,600	-1,000	-6,554E-4
1,650	-1,000	-0,002
1,700	-1,000	-7,201E-4
1,750	-1,000	-0,002
1,800	-1,000	-9,789E-4
1,850	-1,000	-0,001
1,900	-1,000	-4,259E-4
1,950	-1,000	-0,002
2,000	-1,000	-6,029E-4
2,050	-1,000	-0,002
2,100	-1,000	-5,736E-4
2,150	-1,000	-0,001
2,200	-1,000	-3,148E-4
2,250	-1,000	-0,002
2,300	-1,000	-7,628E-4
2,350	-1,000	-0,002
2,400	-1,000	-6,993E-4
2,450	-1,000	-0,001
2,500	-1,000	-6,456E-4
2,550	-1,000	-0,002
2,600	-1,000	-5,223E-4
2,650	-1,000	-0,002
2,700	-1,000	-4,857E-4
2,750	-1,000	-0,002
2,800	-1,000	-5,345E-4
2,850	-1,000	-0,002
2,900	-1,000	-8,300E-4
2,950	-1,000	-0,002
3,000	-1,000	-5,651E-4
3,050	-1,000	-0,002
3,100	-1,000	-5,016E-4
3,150	-1,000	-0,002
3,200	-1,000	-6,505E-4
3,250	-1,000	-0,002
3,300	-1,000	-5,638E-4
3,350	-1,000	-0,002
3,400	-1,000	-4,332E-4
3,450	-1,000	-0,002
3,500	-1,000	-7,115E-4
3,550	-1,000	-0,002
3,600	-1,000	-6,322E-4
3,650	-1,000	-0,002
3,700	-1,000	-4,650E-4
3,750	-1,000	-0,002
3,800	-1,000	-6,432E-4
3,850	-1,000	-0,001
3,900	-1,000	-6,603E-4
3,950	-1,000	-0,002
4,000	-1,000	-5,699E-4
4,050	-1,000	-0,002
4,100	-1,000	-4,283E-4
4,150	-1,000	-0,002
4,200	-1,000	-3,966E-4
4,250	-1,000	-0,002
4,300	-1,000	-3,868E-4
4,350	-1,000	-0,002
4,400	-1,000	-6,346E-4
4,450	-1,000	-0,002
4,500	-1,000	-8,458E-4
4,550	-1,000	-0,002
4,600	-1,000	-5,016E-4
4,650	-1,000	-0,001
4,700	-1,000	-7,286E-4
4,750	-1,000	-0,002
4,800	-1,000	-4,161E-4
4,850	-1,000	-0,002
4,900	-1,000	-6,066E-4
4,950	-1,000	-0,002
5,000	-1,000	-4,552E-4
5,050	-1,000	-0,002
5,100	-1,000	-1,891E-4
5,150	-1,000	-0,001
5,200	-1,000	-4,271E-4
5,250	-1,000	-0,002
5,300	-1,000	-6,908E-4
5,350	-1,000	-0,002
5,400	-1,000	-5,211E-4
5,450	-1,000	-0,002
5,500	-1,000	-6,310E-4
5,550	-1,000	-0,002
5,600	-1,000	-6,847E-4
5,650	-1,000	-0,002
5,700	-1,000	-4,564E-4
5,750	-1,000	-0,002
5,800	-1,000	-7,518E-4
5,850	-1,000	-0,002
5,900	-1,000	-4,052E-4
5,950	-1,000	-0,002
6,000	-1,000	-4,589E-4
6,050	-1,000	-0,002
6,100	-1,000	-3,380E-4
6,150	-1,000	-0,002
6,200	-1,000	-5,919E-4
6,250	-1,000	-0,001
6,300	-1,000	-4,027E-4
6,350	-1,000	-0,002
6,400	-1,000	-4,784E-4
6,450	-1,000	-0,002
6,500	-1,000	-4,406E-4
6,550	-1,000	-0,002
6,600	-1,000	-4,357E-4
6,650	-1,000	-0,001
6,700	-1,000	-4,479E-4
6,750	-1,000	-0,002
6,800	-1,000	-6,371E-4
6,850	-1,000	-0,002
6,900	-1,000	-3,832E-4
6,950	-1,000	-0,002
7,000	-1,000	-4,576E-4
7,050	-1,000	-0,002
7,100	-0,998	-3,624E-4
7,150	-0,997	-0,002
7,200	-0,997	-4,222E-4
7,250	-0,997	-0,001
7,300	-0,997	-3,710E-4
7,350	-0,995	-0,001
7,400	-0,993	-2,965E-4
7,450	-0,992	-0,001
7,500	-0,991	-8,655E-5
7,550	-0,990	-0,001
7,600	-0,990	-1,378E-4
7,650	-0,988	-0,001
7,700	-0,988	2,698E-5
7,750	-0,986	-0,001
7,800	-0,985	1,869E-4
7,850	-0,985	-0,001
7,900	-0,985	8,191E-5
7,950	-0,985	-0,001
8,000	-0,985	-1,086E-5
8,050	-0,985	-9,496E-4
8,100	-0,985	2,820E-5
8,150	-0,985	-0,001
8,200	-0,985	-5,725E-5
8,250	-0,985	-9,032E-4
8,300	-0,985	2,589E-4
8,350	-0,985	-9,728E-4
8,400	-0,985	5,872E-5
8,450	-0,985	-0,001
8,500	-0,985	-3,540E-6
8,550	-0,985	-8,898E-4
8,600	-0,985	1,454E-4
8,650	-0,983	-8,800E-4
8,700	-0,983	8,313E-5
8,750	-0,983	-9,923E-4
8,800	-0,982	2,699E-4
8,850	-0,980	-6,285E-4
8,900	-0,980	3,712E-4
8,950	-0,979	-6,725E-4
9,000	-0,978	3,492E-4
9,050	-0,977	-7,628E-4
9,100	-0,977	2,675E-4
9,150	-0,976	-4,698E-4
9,200	-0,973	7,142E-4
9,250	-0,965	-1,097E-4
9,300	-0,958	9,950E-4
9,350	-0,955	2,235E-4
9,400	-0,955	0,001
9,450	-0,955	3,248E-4
9,500	-0,955	0,001
9,550	-0,955	9,656E-5
9,600	-0,955	0,001
9,650	-0,955	4,286E-4
9,700	-0,955	0,001
9,750	-0,955	1,564E-4
9,800	-0,955	0,001
9,850	-0,955	3,065E-4
9,900	-0,954	0,001
9,950	-0,950	3,932E-4
10,000	-0,949	0,002
10,050	-0,949	3,639E-4
10,100	-0,948	0,002
10,150	-0,947	5,043E-4
10,200	-0,946	0,002
10,250	-0,946	5,897E-4
10,300	-0,946	0,002
10,350	-0,946	5,763E-4
10,400	-0,946	0,002
10,450	-0,946	4,615E-4
10,500	-0,946	0,002
10,550	-0,946	6,276E-4
10,600	-0,946	0,002
10,650	-0,946	7,655E-4
10,700	-0,946	0,002
10,750	-0,946	7,167E-4
10,800	-0,945	0,002
10,850	-0,942	6,630E-4
10,900	-0,939	0,002
10,950	-0,938	0,001
11,000	-0,938	0,002
11,050	-0,937	9,266E-4
11,100	-0,935	0,002
11,150	-0,934	9,840E-4
11,200	-0,933	0,002
11,250	-0,931	0,001
11,300	-0,929	0,002
11,350	-0,927	0,001
11,400	-0,926	0,002
11,450	-0,926	0,001
11,500	-0,925	0,003
11,550	-0,924	0,002
11,600	-0,923	0,003
11,650	-0,922	0,002
11,700	-0,921	0,003
11,750	-0,921	0,002
11,800	-0,920	0,003
11,850	-0,919	0,002
11,900	-0,917	0,003
11,950	-0,915	0,002
12,000	-0,914	0,003
12,050	-0,914	0,002
12,100	-0,914	0,003
12,150	-0,915	0,002
12,200	-0,914	0,003
12,250	-0,914	0,002
12,300	-0,911	0,003
12,350	-0,907	0,002
12,400	-0,906	0,003
12,450	-0,906	0,002
12,500	-0,906	0,004
12,550	-0,906	0,002
12,600	-0,906	0,003
12,650	-0,905	0,002
12,700	-0,902	0,004
12,750	-0,901	0,003
12,800	-0,900	0,004
12,850	-0,899	0,003
12,900	-0,899	0,004
12,950	-0,899	0,003
13,000	-0,899	0,004
13,050	-0,897	0,003
13,100	-0,895	0,004
13,150	-0,894	0,003
13,200	-0,894	0,004
13,250	-0,894	0,003
13,300	-0,892	0,004
13,350	-0,891	0,003
13,400	-0,890	0,004
13,450	-0,890	0,003
13,500	-0,889	0,004
13,550	-0,887	0,003
13,600	-0,884	0,004
13,650	-0,880	0,004
13,700	-0,879	0,005
13,750	-0,878	0,004
13,800	-0,878	0,005
13,850	-0,878	0,004
13,900	-0,878	0,005
13,950	-0,878	0,004
14,000	-0,879	0,004
14,050	-0,878	0,004
14,100	-0,879	0,005
14,150	-0,879	0,003
