Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1
0,000	-0,009	-8,289E-5
0,050	-0,010	-0,001
0,100	-0,009	-3,772E-5
0,150	-0,009	-6,151E-4
0,200	-0,009	2,260E-4
0,250	-0,012	-9,557E-4
0,300	-0,029	4,103E-4
0,350	-0,052	-4,064E-4
0,400	-0,071	4,689E-4
0,450	-0,100	2,687E-4
0,500	-0,134	0,002
0,550	-0,172	0,001
0,600	-0,206	0,003
0,650	-0,221	0,003
0,700	-0,249	0,004
0,750	-0,289	0,003
0,800	-0,307	0,005
0,850	-0,310	0,004
0,900	-0,311	0,005
0,950	-0,311	0,004
1,000	-0,311	0,005
1,050	-0,312	0,004
1,100	-0,321	0,006
1,150	-0,338	0,004
1,200	-0,368	0,006
1,250	-0,380	0,006
1,300	-0,385	0,007
1,350	-0,398	0,006
1,400	-0,409	0,007
1,450	-0,433	0,007
1,500	-0,459	0,008
1,550	-0,472	0,007
1,600	-0,484	0,009
1,650	-0,501	0,008
1,700	-0,529	0,010
1,750	-0,562	0,009
1,800	-0,587	0,011
1,850	-0,605	0,010
1,900	-0,623	0,011
1,950	-0,634	0,010
2,000	-0,652	0,012
2,050	-0,682	0,011
2,100	-0,703	0,013
2,150	-0,729	0,012
2,200	-0,769	0,014
2,250	-0,818	0,014
2,300	-0,839	0,015
2,350	-0,841	0,015
2,400	-0,843	0,016
2,450	-0,856	0,015
2,500	-0,899	0,016
2,550	-0,937	0,016
2,600	-0,962	0,018
2,650	-1,006	0,017
2,700	-1,028	0,019
2,750	-1,030	0,018
2,800	-1,031	0,019
2,850	-1,050	0,018
2,900	-1,065	0,019
2,950	-1,089	0,018
3,000	-1,127	0,020
3,050	-1,144	0,019
3,100	-1,146	0,021
3,150	-1,160	0,019
3,200	-1,178	0,021
3,250	-1,221	0,021
3,300	-1,228	0,022
3,350	-1,229	0,021
3,400	-1,233	0,022
3,450	-1,258	0,021
3,500	-1,267	0,022
3,550	-1,268	0,021
3,600	-1,268	0,022
3,650	-1,271	0,021
3,700	-1,297	0,023
3,750	-1,332	0,022
3,800	-1,351	0,023
3,850	-1,379	0,023
3,900	-1,415	0,024
3,950	-1,426	0,023
4,000	-1,442	0,024
4,050	-1,456	0,024
4,100	-1,460	0,025
4,150	-1,493	0,024
4,200	-1,501	0,026
4,250	-1,501	0,024
4,300	-1,501	0,026
4,350	-1,501	0,025
4,400	-1,502	0,026
4,450	-1,501	0,024
4,500	-1,518	0,026
4,550	-1,565	0,025
4,600	-1,615	0,027
4,650	-1,645	0,026
4,700	-1,664	0,028
4,750	-1,680	0,027
4,800	-1,715	0,028
4,850	-1,749	0,028
4,900	-1,785	0,029
4,950	-1,832	0,028
5,000	-1,863	0,030
5,050	-1,870	0,029
5,100	-1,871	0,030
5,150	-1,881	0,029
5,200	-1,905	0,031
5,250	-1,928	0,030
