Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6
0,000	9,105E-4	2,394E-4
0,050	0,001	-2,965E-4
0,100	6,334E-4	-1,134E-4
0,150	7,274E-4	-6,957E-4
0,200	9,032E-4	2,137E-4
0,250	0,001	-3,942E-4
0,300	7,994E-4	1,283E-4
0,350	8,104E-4	-7,128E-4
0,400	7,787E-4	2,699E-4
0,450	7,250E-4	-7,494E-4
0,500	8,507E-4	2,833E-4
0,550	5,980E-4	-7,982E-4
0,600	0,001	3,749E-4
0,650	6,920E-4	-7,518E-4
0,700	8,361E-4	2,198E-4
0,750	5,992E-4	-8,580E-4
0,800	7,836E-4	1,112E-4
0,850	7,799E-4	-5,773E-4
0,900	9,642E-4	3,761E-4
0,950	8,495E-4	-1,061E-4
1,000	0,001	0,002
1,050	0,001	0,002
1,100	0,001	0,003
1,150	0,002	0,004
1,200	0,002	0,005
1,250	0,002	0,005
1,300	0,002	0,006
1,350	0,002	0,007
1,400	0,002	0,008
1,450	0,002	0,008
1,500	0,002	0,010
1,550	0,002	0,010
1,600	0,002	0,012
1,650	0,002	0,011
1,700	0,003	0,013
1,750	0,003	0,013
1,800	0,003	0,015
1,850	0,003	0,015
1,900	0,003	0,016
1,950	0,003	0,016
2,000	0,003	0,017
2,050	0,003	0,017
2,100	0,003	0,019
2,150	0,003	0,018
2,200	0,003	0,020
2,250	0,003	0,020
2,300	0,004	0,022
2,350	0,004	0,022
2,400	0,004	0,023
2,450	0,004	0,023
2,500	0,004	0,025
2,550	0,005	0,025
2,600	0,005	0,026
2,650	0,005	0,026
2,700	0,005	0,029
2,750	0,005	0,028
2,800	0,006	0,030
2,850	0,006	0,030
2,900	0,006	0,032
2,950	0,006	0,032
3,000	0,006	0,034
3,050	0,006	0,033
3,100	0,007	0,035
3,150	0,006	0,035
3,200	0,007	0,037
3,250	0,007	0,037
3,300	0,007	0,039
3,350	0,007	0,038
3,400	0,007	0,040
3,450	0,008	0,040
3,500	0,009	0,043
3,550	0,009	0,043
3,600	0,009	0,044
3,650	0,009	0,044
3,700	0,010	0,046
3,750	0,009	0,045
3,800	0,009	0,047
3,850	0,010	0,046
3,900	0,010	0,048
3,950	0,010	0,048
4,000	0,010	0,049
4,050	0,011	0,048
4,100	0,011	0,050
4,150	0,011	0,050
4,200	0,011	0,052
4,250	0,011	0,051
4,300	0,011	0,053
4,350	0,012	0,052
4,400	0,012	0,053
4,450	0,012	0,053
4,500	0,012	0,055
4,550	0,012	0,054
4,600	0,012	0,055
4,650	0,013	0,054
4,700	0,013	0,056
4,750	0,013	0,055
4,800	0,013	0,057
4,850	0,013	0,056
4,900	0,013	0,057
4,950	0,013	0,057
5,000	0,014	0,059
5,050	0,014	0,058
5,100	0,014	0,060
5,150	0,014	0,059
5,200	0,015	0,061
5,250	0,015	0,060
5,300	0,015	0,062
5,350	0,015	0,061
5,400	0,015	0,063
5,450	0,015	0,062
5,500	0,015	0,063
5,550	0,016	0,063
5,600	0,016	0,065
5,650	0,016	0,063
5,700	0,017	0,065
5,750	0,017	0,065
5,800	0,017	0,067
5,850	0,018	0,067
5,900	0,018	0,068
5,950	0,018	0,068
6,000	0,018	0,069
6,050	0,018	0,068
6,100	0,019	0,070
6,150	0,019	0,069
6,200	0,019	0,070
6,250	0,019	0,070
6,300	0,019	0,071
6,350	0,020	0,071
6,400	0,020	0,072
6,450	0,020	0,071
6,500	0,020	0,073
6,550	0,021	0,073
6,600	0,021	0,074
6,650	0,021	0,073
6,700	0,021	0,074
6,750	0,021	0,073
6,800	0,021	0,075
6,850	0,022	0,074
6,900	0,021	0,075
6,950	0,022	0,074
7,000	0,022	0,076
7,050	0,022	0,075
7,100	0,023	0,077
7,150	0,022	0,075
7,200	0,023	0,077
7,250	0,022	0,076
7,300	0,023	0,077
7,350	0,022	0,076
7,400	0,023	0,078
7,450	0,023	0,077
7,500	0,023	0,078
7,550	0,024	0,078
7,600	0,024	0,079
7,650	0,024	0,078
7,700	0,024	0,079
7,750	0,024	0,078
7,800	0,024	0,080
7,850	0,025	0,079
7,900	0,025	0,081
7,950	0,025	0,080
8,000	0,025	0,081
8,050	0,026	0,081
8,100	0,026	0,082
8,150	0,026	0,081
8,200	0,026	0,082
8,250	0,026	0,081
8,300	0,026	0,083
8,350	0,027	0,082
8,400	0,027	0,084
8,450	0,026	0,082
8,500	0,026	0,083
8,550	0,026	0,082
8,600	0,027	0,084
8,650	0,026	0,082
8,700	0,026	0,083
8,750	0,026	0,082
8,800	0,026	0,083
8,850	0,027	0,082
8,900	0,026	0,083
8,950	0,026	0,082
9,000	0,026	0,083
9,050	0,026	0,082
9,100	0,026	0,083
9,150	0,026	0,082
9,200	0,026	0,083
9,250	0,027	0,082
9,300	0,027	0,084
9,350	0,028	0,084
9,400	0,028	0,085
9,450	0,028	0,084
9,500	0,028	0,085
9,550	0,028	0,084
