Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4
0,000	-0,010	-0,003
0,050	-0,009	-0,002
0,100	-0,009	-0,003
0,150	-0,010	-0,002
0,200	-0,009	-0,003
0,250	-0,010	-0,002
0,300	-0,009	-0,003
0,350	-0,010	-0,002
0,400	-0,010	-0,003
0,450	-0,010	-0,002
0,500	-0,010	-0,003
0,550	-0,010	-0,002
0,600	-0,010	-0,003
0,650	-0,009	-0,002
0,700	-0,010	-0,003
0,750	-0,010	-0,002
0,800	-0,009	-0,002
0,850	-0,009	-0,002
0,900	-0,009	-0,003
0,950	-0,010	-0,002
1,000	-0,011	-0,002
1,050	-0,014	-0,002
1,100	-0,014	-0,003
1,150	-0,014	-0,002
1,200	-0,014	-0,003
1,250	-0,022	-0,002
1,300	-0,046	-0,003
1,350	-0,054	-0,001
1,400	-0,054	-0,002
1,450	-0,057	-0,002
1,500	-0,071	-0,002
1,550	-0,086	-0,001
1,600	-0,089	-0,002
1,650	-0,089	-0,001
1,700	-0,088	-0,002
1,750	-0,089	-9,520E-4
1,800	-0,089	-0,002
1,850	-0,089	-0,001
1,900	-0,088	-0,002
1,950	-0,089	-0,001
2,000	-0,089	-0,002
2,050	-0,089	-0,001
2,100	-0,089	-0,002
2,150	-0,089	-0,001
2,200	-0,089	-0,002
2,250	-0,091	-0,001
2,300	-0,093	-0,002
2,350	-0,093	-9,349E-4
2,400	-0,093	-0,002
2,450	-0,095	-8,641E-4
2,500	-0,105	-0,002
2,550	-0,111	-8,397E-4
2,600	-0,111	-0,002
2,650	-0,112	-9,850E-4
2,700	-0,111	-0,002
2,750	-0,111	-7,164E-4
2,800	-0,111	-0,001
2,850	-0,113	-8,251E-4
2,900	-0,117	-0,002
2,950	-0,123	-7,250E-4
3,000	-0,124	-0,002
3,050	-0,124	-8,116E-4
3,100	-0,124	-0,001
3,150	-0,124	-6,066E-4
3,200	-0,124	-0,001
3,250	-0,124	-7,079E-4
3,300	-0,125	-0,001
3,350	-0,125	-7,347E-4
3,400	-0,124	-0,001
3,450	-0,124	-5,516E-4
3,500	-0,124	-0,001
3,550	-0,125	-6,591E-4
3,600	-0,124	-0,001
3,650	-0,125	-5,199E-4
3,700	-0,125	-0,001
3,750	-0,127	-2,977E-4
3,800	-0,129	-0,001
3,850	-0,129	-5,480E-4
3,900	-0,128	-0,001
3,950	-0,129	-7,677E-4
4,000	-0,129	-0,001
4,050	-0,128	-1,976E-4
4,100	-0,129	-0,001
