Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
0,000	-0,009	-4,125E-4
0,050	-0,009	-0,002
0,100	-0,010	-6,774E-4
0,150	-0,010	-0,002
0,200	-0,009	-5,663E-4
0,250	-0,010	-0,002
0,300	-0,010	-6,737E-4
0,350	-0,024	-0,002
0,400	-0,033	-1,866E-4
0,450	-0,045	-0,001
0,500	-0,045	-6,824E-5
0,550	-0,071	-0,001
0,600	-0,118	-2,037E-4
0,650	-0,162	-0,001
0,700	-0,224	4,041E-5
0,750	-0,271	-6,908E-4
0,800	-0,310	4,115E-4
0,850	-0,337	-7,372E-4
0,900	-0,365	7,325E-4
0,950	-0,381	-4,821E-4
1,000	-0,386	7,777E-4
1,050	-0,388	-3,112E-4
1,100	-0,388	4,152E-4
1,150	-0,388	-1,403E-4
1,200	-0,386	9,498E-4
1,250	-0,386	-1,671E-4
1,300	-0,423	0,001
1,350	-0,456	-8,899E-5
1,400	-0,455	0,001
1,450	-0,456	-3,284E-5
1,500	-0,456	0,001
1,550	-0,456	-1,061E-4
1,600	-0,458	9,010E-4
1,650	-0,472	-1,697E-5
1,700	-0,487	0,001
1,750	-0,500	4,982E-4
1,800	-0,508	0,001
1,850	-0,527	5,751E-4
1,900	-0,545	0,001
1,950	-0,560	4,371E-4
2,000	-0,566	0,002
2,050	-0,576	3,199E-4
2,100	-0,598	0,002
2,150	-0,612	7,606E-4
2,200	-0,616	0,002
2,250	-0,616	9,047E-4
2,300	-0,630	0,002
2,350	-0,643	8,021E-4
2,400	-0,659	0,002
2,450	-0,668	0,001
2,500	-0,677	0,002
2,550	-0,689	8,815E-4
2,600	-0,697	0,002
2,650	-0,710	0,001
2,700	-0,729	0,002
2,750	-0,744	0,001
2,800	-0,759	0,003
2,850	-0,784	0,001
2,900	-0,795	0,002
2,950	-0,810	0,001
3,000	-0,816	0,002
3,050	-0,827	0,001
3,100	-0,856	0,003
3,150	-0,897	0,002
3,200	-0,932	0,003
3,250	-0,947	0,002
3,300	-0,948	0,003
3,350	-0,946	0,002
3,400	-0,950	0,003
3,450	-0,952	0,002
3,500	-0,953	0,003
3,550	-0,952	0,002
3,600	-0,953	0,003
3,650	-0,952	0,002
3,700	-0,953	0,004
3,750	-0,953	0,002
3,800	-0,958	0,003
3,850	-0,964	0,002
3,900	-0,969	0,003
3,950	-0,972	0,002
4,000	-0,981	0,004
4,050	-0,984	0,003
4,100	-0,992	0,004
4,150	-1,001	0,003
4,200	-1,004	0,004
4,250	-1,015	0,002
4,300	-1,023	0,004
4,350	-1,030	0,003
4,400	-1,038	0,004
4,450	-1,046	0,003
4,500	-1,051	0,004
4,550	-1,069	0,003
4,600	-1,088	0,004
4,650	-1,092	0,003
4,700	-1,111	0,004
4,750	-1,134	0,003
4,800	-1,139	0,004
4,850	-1,145	0,003
4,900	-1,149	0,004
4,950	-1,149	0,003
5,000	-1,149	0,004
5,050	-1,153	0,003
5,100	-1,181	0,005
5,150	-1,197	0,003
5,200	-1,219	0,005
5,250	-1,231	0,004
5,300	-1,233	0,005
5,350	-1,243	0,004
5,400	-1,247	0,005
5,450	-1,249	0,004
5,500	-1,255	0,005
5,550	-1,255	0,004
5,600	-1,255	0,005
5,650	-1,255	0,004
5,700	-1,255	0,005
5,750	-1,256	0,004
5,800	-1,280	0,005
5,850	-1,316	0,004
