Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2
0,000	-0,009	4,163E-5
0,050	-0,009	-5,016E-4
0,100	-0,011	-1,183E-4
0,150	-0,026	-5,175E-4
0,200	-0,039	1,356E-4
0,250	-0,040	-3,514E-4
0,300	-0,047	-3,856E-4
0,350	-0,075	-4,174E-4
0,400	-0,086	1,599E-5
0,450	-0,115	-3,026E-4
0,500	-0,145	1,124E-4
0,550	-0,151	-2,465E-4
0,600	-0,151	6,116E-5
0,650	-0,152	-5,419E-4
0,700	-0,152	-5,223E-4
0,750	-0,152	-3,282E-4
0,800	-0,218	-3,734E-4
0,850	-0,289	-4,869E-4
0,900	-0,324	1,843E-5
0,950	-0,346	-6,212E-4
1,000	-0,352	-1,183E-4
1,050	-0,371	-6,505E-4
1,100	-0,414	-2,831E-4
1,150	-0,464	-5,065E-4
1,200	-0,499	-1,134E-4
1,250	-0,556	-6,774E-4
1,300	-0,625	-4,186E-4
1,350	-0,689	-0,001
1,400	-0,736	-6,334E-4
1,450	-0,776	-8,458E-4
1,500	-0,797	-4,454E-4
1,550	-0,797	-4,686E-4
1,600	-0,805	-2,269E-4
1,650	-0,815	-7,543E-4
1,700	-0,815	-4,735E-4
1,750	-0,815	-5,602E-4
1,800	-0,815	-4,088E-4
1,850	-0,814	-5,297E-4
1,900	-0,808	-4,015E-4
1,950	-0,830	-5,223E-4
2,000	-0,879	-3,026E-4
2,050	-0,905	-4,930E-4
2,100	-0,909	-6,530E-4
2,150	-0,909	-7,238E-4
2,200	-0,922	-5,638E-4
2,250	-0,944	-4,589E-4
2,300	-0,966	-6,859E-4
2,350	-0,986	-4,515E-4
2,400	-0,997	-8,788E-4
2,450	-1,013	-6,359E-4
2,500	-1,034	-7,115E-4
2,550	-1,054	-7,054E-4
2,600	-1,091	-7,994E-4
2,650	-1,117	-3,319E-4
2,700	-1,133	-8,116E-4
2,750	-1,178	-0,001
2,800	-1,213	-7,848E-4
2,850	-1,279	-8,617E-4
2,900	-1,330	-0,001
2,950	-1,330	-5,870E-4
3,000	-1,331	-0,001
3,050	-1,330	-7,335E-4
3,100	-1,330	-7,653E-4
3,150	-1,331	-9,130E-4
3,200	-1,330	-9,716E-4
3,250	-1,350	-6,957E-4
3,300	-1,413	-9,484E-4
3,350	-1,456	-5,699E-4
3,400	-1,489	-0,001
3,450	-1,497	-8,788E-4
3,500	-1,504	-9,252E-4
3,550	-1,538	-9,032E-4
3,600	-1,553	-0,001
3,650	-1,581	-6,993E-4
3,700	-1,637	-0,001
3,750	-1,679	-7,286E-4
3,800	-1,720	-0,001
3,850	-1,760	-6,371E-4
3,900	-1,800	-0,001
3,950	-1,827	-0,001
4,000	-1,829	-0,001
4,050	-1,829	-9,374E-4
4,100	-1,829	-0,001
4,150	-1,829	-7,469E-4
4,200	-1,829	-0,001
4,250	-1,830	-8,593E-4
4,300	-1,830	-0,002
4,350	-1,833	-6,810E-4
4,400	-1,869	-0,001
4,450	-1,923	-9,728E-4
4,500	-1,947	-0,001
4,550	-1,948	-7,701E-4
4,600	-1,956	-0,002
4,650	-1,977	-7,811E-4
4,700	-2,009	-0,001
4,750	-2,049	-8,068E-4
4,800	-2,053	-0,002
4,850	-2,054	-8,556E-4
4,900	-2,055	-0,002
4,950	-2,055	-9,154E-4
5,000	-2,055	-0,002
5,050	-2,055	-9,337E-4
5,100	-2,055	-0,001
5,150	-2,067	-5,809E-4
5,200	-2,115	-0,001
5,250	-2,183	-9,740E-4
5,300	-2,252	-0,002
5,350	-2,270	-8,617E-4
5,400	-2,281	-0,002
5,450	-2,316	-6,664E-4
5,500	-2,348	-0,002
