Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10
0,000	-0,999	-0,228
0,050	-0,998	-0,227
0,100	-0,998	-0,228
0,150	-0,997	-0,227
0,200	-0,997	-0,228
0,250	-0,996	-0,227
0,300	-0,996	-0,228
0,350	-0,997	-0,227
0,400	-0,998	-0,229
0,450	-0,999	-0,227
0,500	-0,998	-0,228
0,550	-0,998	-0,228
0,600	-0,998	-0,228
0,650	-0,997	-0,227
0,700	-0,995	-0,228
0,750	-0,994	-0,227
0,800	-0,995	-0,229
0,850	-0,995	-0,227
0,900	-0,996	-0,228
0,950	-0,998	-0,227
1,000	-0,998	-0,228
1,050	-0,998	-0,227
1,100	-0,997	-0,228
1,150	-0,997	-0,227
1,200	-0,998	-0,228
1,250	-0,998	-0,227
1,300	-0,999	-0,228
1,350	-0,999	-0,227
1,400	-0,999	-0,229
1,450	-0,999	-0,227
1,500	-0,999	-0,228
1,550	-0,999	-0,227
1,600	-0,999	-0,229
1,650	-1,000	-0,227
1,700	-0,999	-0,228
1,750	-1,000	-0,228
1,800	-1,000	-0,229
1,850	-0,999	-0,227
1,900	-0,999	-0,228
1,950	-0,999	-0,227
2,000	-0,999	-0,228
2,050	-0,999	-0,227
2,100	-0,997	-0,229
2,150	-0,993	-0,227
2,200	-0,988	-0,228
2,250	-0,983	-0,227
2,300	-0,979	-0,227
2,350	-0,982	-0,227
2,400	-0,983	-0,228
2,450	-0,986	-0,227
2,500	-0,983	-0,228
2,550	-0,980	-0,226
2,600	-0,982	-0,228
2,650	-0,980	-0,227
2,700	-0,980	-0,228
2,750	-0,980	-0,227
2,800	-0,977	-0,228
2,850	-0,971	-0,226
2,900	-0,968	-0,227
2,950	-0,968	-0,226
3,000	-0,967	-0,227
3,050	-0,967	-0,226
3,100	-0,970	-0,227
3,150	-0,972	-0,226
3,200	-0,974	-0,227
3,250	-0,975	-0,226
3,300	-0,975	-0,227
