Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3
0,000	6,993E-4	9,706E-4
0,050	6,078E-4	0,002
0,100	6,273E-4	0,001
0,150	5,297E-4	0,002
0,200	5,944E-4	0,001
0,250	6,981E-4	0,002
0,300	3,392E-4	7,838E-4
0,350	3,954E-4	0,002
0,400	5,370E-4	0,001
0,450	3,978E-4	0,002
0,500	5,345E-4	0,001
0,550	4,491E-4	0,002
0,600	6,188E-4	0,001
0,650	5,431E-4	0,002
0,700	5,553E-4	0,001
0,750	7,213E-4	0,002
0,800	6,481E-4	0,001
0,850	6,456E-4	0,002
0,900	5,236E-4	0,001
0,950	5,406E-4	0,002
1,000	7,531E-4	0,002
1,050	5,150E-4	0,002
1,100	5,577E-4	0,001
1,150	6,847E-4	0,002
1,200	4,088E-4	0,001
1,250	6,578E-4	0,002
1,300	6,749E-4	0,002
1,350	5,614E-4	0,002
1,400	6,957E-4	0,002
1,450	7,531E-4	0,003
1,500	5,150E-4	0,001
1,550	4,711E-4	0,002
1,600	6,407E-4	0,002
1,650	5,760E-4	0,003
1,700	3,368E-4	0,001
1,750	5,223E-4	0,002
1,800	5,492E-4	0,002
1,850	4,979E-4	0,003
1,900	6,066E-4	0,002
1,950	3,905E-4	0,002
2,000	6,517E-4	0,002
2,050	7,140E-4	0,003
2,100	9,728E-4	0,002
2,150	3,209E-4	0,003
2,200	5,529E-4	0,002
2,250	4,833E-4	0,003
2,300	3,539E-4	0,002
2,350	6,249E-4	0,003
2,400	5,223E-4	0,002
2,450	7,982E-4	0,003
2,500	8,177E-4	0,002
2,550	7,531E-4	0,003
2,600	6,566E-4	0,002
2,650	3,466E-4	0,003
2,700	6,725E-4	0,002
2,750	6,115E-4	0,003
2,800	4,930E-4	0,002
2,850	3,649E-4	0,003
2,900	4,760E-4	0,002
2,950	7,140E-4	0,003
3,000	5,931E-4	0,002
3,050	4,808E-4	0,003
3,100	4,662E-4	0,002
3,150	6,835E-4	0,003
3,200	5,858E-4	0,002
3,250	6,517E-4	0,003
3,300	4,930E-4	0,002
3,350	4,296E-4	0,003
3,400	7,079E-4	0,003
3,450	4,027E-4	0,003
3,500	6,322E-4	0,002
3,550	7,616E-4	0,003
3,600	2,574E-4	0,002
3,650	4,711E-4	0,003
3,700	3,734E-4	0,002
3,750	7,372E-4	0,004
3,800	5,321E-4	0,003
3,850	7,006E-4	0,004
3,900	8,568E-4	0,003
3,950	5,980E-4	0,004
4,000	5,883E-4	0,003
4,050	6,871E-4	0,004
4,100	5,138E-4	0,003
4,150	2,990E-4	0,003
4,200	4,979E-4	0,003
4,250	4,943E-4	0,004
4,300	6,444E-4	0,003
4,350	4,491E-4	0,004
4,400	8,141E-4	0,003
4,450	5,321E-4	0,004
4,500	8,751E-4	0,003
4,550	6,835E-4	0,004
4,600	7,286E-4	0,003
4,650	7,750E-4	0,004
4,700	6,713E-4	0,003
4,750	6,029E-4	0,004
4,800	6,420E-4	0,003
4,850	4,430E-4	0,004
4,900	6,871E-4	0,003
4,950	5,284E-4	0,004
5,000	8,593E-4	0,003
5,050	5,541E-4	0,004
5,100	6,896E-4	0,003
5,150	5,468E-4	0,004
5,200	7,592E-4	0,003
5,250	3,661E-4	0,004
5,300	3,429E-4	0,003
5,350	3,441E-4	0,004
5,400	4,161E-4	0,003
5,450	5,931E-4	0,004
5,500	6,957E-4	0,003
5,550	5,162E-4	0,004
5,600	6,969E-4	0,004
5,650	4,760E-4	0,004
5,700	4,430E-4	0,003
5,750	2,892E-4	0,004
5,800	6,102E-4	0,003
5,850	4,296E-4	0,004
5,900	5,028E-4	0,003
5,950	7,897E-4	0,004
6,000	5,272E-4	0,003
6,050	6,444E-4	0,004
6,100	6,823E-4	0,004
6,150	4,503E-4	0,004
6,200	6,530E-4	0,004
6,250	3,612E-4	0,004
6,300	5,980E-4	0,004
6,350	7,592E-4	0,005
6,400	7,054E-4	0,004
6,450	6,444E-4	0,004
6,500	6,749E-4	0,004
6,550	7,238E-4	0,005
6,600	6,871E-4	0,004
6,650	9,117E-4	0,005
6,700	6,554E-4	0,004
6,750	8,885E-4	0,005
6,800	5,968E-4	0,004
6,850	8,129E-4	0,005
6,900	6,969E-4	0,004
6,950	7,726E-4	0,005
7,000	6,212E-4	0,004
7,050	8,409E-4	0,005
7,100	3,344E-4	0,004
7,150	4,235E-4	0,005
7,200	8,605E-4	0,004
7,250	7,067E-4	0,005
7,300	0,001	0,004
7,350	3,282E-4	0,005
7,400	3,160E-4	0,004
7,450	7,201E-4	0,005
7,500	5,504E-4	0,004
7,550	6,578E-4	0,005
7,600	5,724E-4	0,004
7,650	7,494E-4	0,005
7,700	7,933E-4	0,004
7,750	6,078E-4	0,005
7,800	5,358E-4	0,004
7,850	6,029E-4	0,005
7,900	5,712E-4	0,004
7,950	6,591E-4	0,005
8,000	6,700E-4	0,004
8,050	7,836E-4	0,005
8,100	7,579E-4	0,005
8,150	3,649E-4	0,005
8,200	7,054E-4	0,005
8,250	6,041E-4	0,005
8,300	6,102E-4	0,005
8,350	4,930E-4	0,005
8,400	5,712E-4	0,005
8,450	5,419E-4	0,005
8,500	6,993E-4	0,005
8,550	2,721E-4	0,005
8,600	6,029E-4	0,005
8,650	4,760E-4	0,005
8,700	8,434E-4	0,005
8,750	6,298E-4	0,005
8,800	7,677E-4	0,005
8,850	7,177E-4	0,006
8,900	7,579E-4	0,005
8,950	7,958E-4	0,006
9,000	7,091E-4	0,005
9,050	9,215E-4	0,006
9,100	9,301E-4	0,005
9,150	0,001	0,006
9,200	6,688E-4	0,005
9,250	5,370E-4	0,006
9,300	6,469E-4	0,005
9,350	7,616E-4	0,006
9,400	7,347E-4	0,005
9,450	7,103E-4	0,006
9,500	4,991E-4	0,005
9,550	6,835E-4	0,006
9,600	4,357E-4	0,005
9,650	7,653E-4	0,006
9,700	6,322E-4	0,005
9,750	5,333E-4	0,006
9,800	8,312E-4	0,005
9,850	5,956E-4	0,006
9,900	4,894E-4	0,005
9,950	8,043E-4	0,006
10,000	5,687E-4	0,005
10,050	5,516E-4	0,006
10,100	7,140E-4	0,005
10,150	7,775E-4	0,006
10,200	4,698E-4	0,005
10,250	8,690E-4	0,006
10,300	5,455E-4	0,005
10,350	7,531E-4	0,006
10,400	7,201E-4	0,006
10,450	7,482E-4	0,006
10,500	5,724E-4	0,005
10,550	4,552E-4	0,006
10,600	5,175E-4	0,005
10,650	5,577E-4	0,006
10,700	7,469E-4	0,006
10,750	5,406E-4	0,006
10,800	7,518E-4	0,006
10,850	6,102E-4	0,006
10,900	3,636E-4	0,005
10,950	6,615E-4	0,006
11,000	6,505E-4	0,006
11,050	0,001	0,007
11,100	3,185E-4	0,005
11,150	7,799E-4	0,006
11,200	6,005E-4	0,006
11,250	5,272E-4	0,006
11,300	5,321E-4	0,006
11,350	6,371E-4	0,007
11,400	6,188E-4	0,006
11,450	6,188E-4	0,006
11,500	4,589E-4	0,006
11,550	4,552E-4	0,007
11,600	5,175E-4	0,006
11,650	5,236E-4	0,007
11,700	5,724E-4	0,006
11,750	1,793E-4	0,006
11,800	5,907E-4	0,006
11,850	5,944E-4	0,007
11,900	6,517E-4	0,006
11,950	6,176E-4	0,007
12,000	9,325E-4	0,006
12,050	9,655E-4	0,007
12,100	5,748E-4	0,006
12,150	7,140E-4	0,007
12,200	7,213E-4	0,006
12,250	7,567E-4	0,007
12,300	8,824E-4	0,006
12,350	5,114E-4	0,007
12,400	7,823E-4	0,006
12,450	7,384E-4	0,007
12,500	7,335E-4	0,006
12,550	4,723E-4	0,007
