Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6
0,000	0,003	0,024
0,020	0,003	0,024
0,040	0,003	0,024
0,060	0,003	0,024
0,080	0,004	0,025
0,100	0,003	0,025
0,120	0,003	0,024
0,140	0,003	0,025
0,160	0,003	0,024
0,180	0,003	0,024
0,200	0,003	0,024
0,220	0,003	0,024
0,240	0,003	0,024
0,260	0,003	0,024
0,280	0,003	0,024
0,300	0,003	0,024
0,320	0,003	0,024
0,340	0,003	0,024
0,360	0,003	0,024
0,380	0,003	0,025
0,400	0,003	0,023
0,420	0,003	0,024
0,440	0,004	0,024
0,460	0,003	0,024
0,480	0,003	0,024
0,500	0,003	0,024
0,520	0,003	0,024
0,540	0,003	0,024
0,560	0,004	0,025
0,580	0,003	0,024
0,600	0,003	0,024
0,620	0,003	0,024
0,640	0,003	0,024
0,660	0,003	0,024
0,680	0,003	0,024
0,700	0,003	0,024
0,720	0,003	0,024
0,740	0,003	0,025
0,760	0,003	0,024
0,780	0,003	0,024
0,800	0,003	0,024
0,820	0,003	0,024
0,840	0,003	0,024
0,860	0,003	0,024
0,880	0,003	0,024
0,900	2,327	3,573
0,920	6,287	8,404
0,940	0,007	-0,113
0,960	0,013	-0,077
0,980	0,020	-0,039
1,000	0,026	-0,015
1,020	0,032	0,024
1,040	0,037	0,019
1,060	0,044	0,018
1,080	0,050	0,023
1,100	0,056	0,026
1,120	0,062	0,029
1,140	0,068	0,031
1,160	0,073	0,031
1,180	0,080	0,034
1,200	0,086	0,034
1,220	0,092	0,035
1,240	0,098	0,037
1,260	0,104	0,037
1,280	0,110	0,038
1,300	0,116	0,039
1,320	0,122	0,038
1,340	0,128	0,040
1,360	0,134	0,040
1,380	0,140	0,044
1,400	0,146	0,042
1,420	0,152	0,041
1,440	0,158	0,041
1,460	0,164	0,042
1,480	0,170	0,041
1,500	0,176	0,043
1,520	0,182	0,042
1,540	0,188	0,043
1,560	0,194	0,043
1,580	0,200	0,043
1,600	0,206	0,044
1,620	0,211	0,043
1,640	0,218	0,043
1,660	0,224	0,044
1,680	0,230	0,044
1,700	0,235	0,044
1,720	0,242	0,045
1,740	0,248	0,025
1,760	0,254	0,034
1,780	0,260	0,044
1,800	0,265	0,044
1,820	0,271	0,045
1,840	0,277	0,045
1,860	0,283	0,045
1,880	0,289	0,046
1,900	0,295	0,046
1,920	0,301	0,047
1,940	0,307	0,047
1,960	0,312	0,046
1,980	0,319	0,047
2,000	0,324	0,047
2,020	0,330	0,047
2,040	0,336	0,047
2,060	0,342	0,047
2,080	0,348	0,048
2,100	0,354	0,048
2,120	0,360	0,056
2,140	0,366	0,050
2,160	0,372	0,049
2,180	0,378	0,049
2,200	0,383	0,049
2,220	0,390	0,049
2,240	0,396	0,050
2,260	0,402	0,050
2,280	0,408	0,050
2,300	0,413	0,049
2,320	0,419	0,050
2,340	0,425	0,050
2,360	0,431	0,050
2,380	0,437	0,050
2,400	0,444	0,051
2,420	0,449	0,051
2,440	0,455	0,051
2,460	0,461	0,051
2,480	0,467	0,051
2,500	0,473	0,052
2,520	0,479	0,051
2,540	0,485	0,051
2,560	0,491	0,052
2,580	0,496	0,051
2,600	0,503	0,052
2,620	0,509	0,052
2,640	0,514	0,052
2,660	0,520	0,053
2,680	0,526	0,052
2,700	0,532	0,053
2,720	0,538	0,053
2,740	0,545	0,053
2,760	0,550	0,053
2,780	0,555	0,052
2,800	0,562	0,052
2,820	0,568	0,053
2,840	0,574	0,051
2,860	0,580	0,039
2,880	0,586	0,053
2,900	0,592	0,053
2,920	0,597	0,054
2,940	0,604	0,054
2,960	0,609	0,054
2,980	0,615	0,054
3,000	0,621	0,054
3,020	0,626	0,054
3,040	0,632	0,054
3,060	0,638	0,054
3,080	0,644	0,055
3,100	0,650	0,055
3,120	0,656	0,055
3,140	0,662	0,055
3,160	0,668	0,055
3,180	0,674	0,055
3,200	0,679	0,056
3,220	0,685	0,066
3,240	0,691	0,060
3,260	0,697	0,056
3,280	0,703	0,056
3,300	0,709	0,057
3,320	0,714	0,056
3,340	0,721	0,056
3,360	0,726	0,056
3,380	0,733	0,057
3,400	0,739	0,057
3,420	0,745	0,057
3,440	0,750	0,057
3,460	0,756	0,057
3,480	0,762	0,057
3,500	0,768	0,057
3,520	0,774	0,057
3,540	0,780	0,058
3,560	0,786	0,058
3,580	0,792	0,072
3,600	0,798	0,077
3,620	0,804	0,061
3,640	0,809	0,058
3,660	0,815	0,059
3,680	0,822	0,059
3,700	0,827	0,059
3,720	0,833	0,059
3,740	0,839	0,059
3,760	0,845	0,059
3,780	0,851	0,059
3,800	0,857	0,059
3,820	0,863	0,060
3,840	0,869	0,060
3,860	0,875	0,060
3,880	0,881	0,061
3,900	0,886	0,060
3,920	0,892	0,061
3,940	0,899	0,062
3,960	0,904	0,036
3,980	0,910	0,055
4,000	0,916	0,060
4,020	0,922	0,061
4,040	0,928	0,062
4,060	0,934	0,062
4,080	0,939	0,062
4,100	0,945	0,062
4,120	0,951	0,062
4,140	0,957	0,063
4,160	0,962	0,063
4,180	0,969	0,063
4,200	0,974	0,063
4,220	0,980	0,064
4,240	0,986	0,064
4,260	0,992	0,064
4,280	0,998	0,064
4,300	1,004	0,065
4,320	1,010	0,076
4,340	1,016	0,074
4,360	1,022	0,066
4,380	1,027	0,065
4,400	1,033	0,066
4,420	1,040	0,066
4,440	1,045	0,066
4,460	1,051	0,067
4,480	1,057	0,067
4,500	1,063	0,067
4,520	1,069	0,067
4,540	1,074	0,067
4,560	1,081	0,067
4,580	1,086	0,068
4,600	1,093	0,068
4,620	1,099	0,069
4,640	1,104	0,069
4,660	1,110	0,069
4,680	1,117	0,070
4,700	1,122	0,142
4,720	1,128	0,082
4,740	1,134	0,073
4,760	1,140	0,072
4,780	1,146	0,072
4,800	1,152	0,071
4,820	1,157	0,072
4,840	1,164	0,072
4,860	1,170	0,072
4,880	1,175	0,073
4,900	1,181	0,073
4,920	1,187	0,073
4,940	1,193	0,074
4,960	1,199	0,073
4,980	1,205	0,074
5,000	1,211	0,074
5,020	1,217	0,075
5,040	1,223	0,075
5,060	1,229	0,083
5,080	1,234	0,079
5,100	1,240	0,077
5,120	1,246	0,077
5,140	1,251	0,077
5,160	1,257	0,077
5,180	1,263	0,077
5,200	1,269	0,078
5,220	1,275	0,078
5,240	1,281	0,079
5,260	1,286	0,079
5,280	1,292	0,079
5,300	1,299	0,080
5,320	1,304	0,080
5,340	1,310	0,080
5,360	1,316	0,081
5,380	1,322	0,081
5,400	1,328	0,082
5,420	1,333	0,078
5,440	1,340	0,055
5,460	1,346	0,080
5,480	1,351	0,082
5,500	1,357	0,083
5,520	1,363	0,084
5,540	1,369	0,084
5,560	1,375	0,085
5,580	1,381	0,085
5,600	1,386	0,085
5,620	1,392	0,086
5,640	1,399	0,087
5,660	1,404	0,087
5,680	1,411	0,088
5,700	1,416	0,088
5,720	1,422	0,089
5,740	1,428	0,090
5,760	1,434	0,090
5,780	1,439	0,090
5,800	1,446	0,098
5,820	1,451	0,094
5,840	1,457	0,093
5,860	1,463	0,092
5,880	1,469	0,094
5,900	1,476	0,094
5,920	1,481	0,095
5,940	1,487	0,095
5,960	1,492	0,095
5,980	1,498	0,096
6,000	1,504	0,097
6,020	1,510	0,097
6,040	1,516	0,098
6,060	1,522	0,099
6,080	1,528	0,100
6,100	1,534	0,100
6,120	1,540	0,101
6,140	1,546	0,101
6,160	1,551	0,096
6,180	1,557	0,096
6,200	1,563	0,103
6,220	1,569	0,104
6,240	1,574	0,105
6,260	1,580	0,106
6,280	1,586	0,106
6,300	1,592	0,107
6,320	1,598	0,108
6,340	1,604	0,108
6,360	1,610	0,109
6,380	1,616	0,110
6,400	1,622	0,111
6,420	1,627	0,112
6,440	1,633	0,113
6,460	1,639	0,114
6,480	1,645	0,114
6,500	1,651	0,115
6,520	1,657	0,116
6,540	1,663	0,117
6,560	1,668	0,118
6,580	1,674	0,119
6,600	1,680	0,120
6,620	1,687	0,121
6,640	1,692	0,122
6,660	1,698	0,123
6,680	1,704	0,124
6,700	1,710	0,124
6,720	1,715	0,125
6,740	1,721	0,126
6,760	1,727	0,127
6,780	1,733	0,128
6,800	1,739	0,129
6,820	1,745	0,130
6,840	1,751	0,131
6,860	1,757	0,132
6,880	1,763	0,134
6,900	1,768	0,152
6,920	1,775	0,146
6,940	1,780	0,138
6,960	1,786	0,138
6,980	1,792	0,138
7,000	1,797	0,139
7,020	1,804	0,140
7,040	1,810	0,140
7,060	1,816	0,141
7,080	1,822	0,142
7,100	1,827	0,142
7,120	1,833	0,142
7,140	1,839	0,143
7,160	1,845	0,143
7,180	1,851	0,143
7,200	1,857	0,143
7,220	1,862	0,143
7,240	1,868	0,143
7,260	1,874	0,143
7,280	1,880	0,092
7,300	1,885	0,136
7,320	1,891	0,141
7,340	1,896	0,142
7,360	1,902	0,142
7,380	1,909	0,143
7,400	1,914	0,143
7,420	1,920	0,143
7,440	1,926	0,143
7,460	1,932	0,143
7,480	1,938	0,142
7,500	1,944	0,142
7,520	1,949	0,142
7,540	1,955	0,141
7,560	1,961	0,141
7,580	1,967	0,141
7,600	1,973	0,140
7,620	1,979	0,140
7,640	1,984	0,174
7,660	1,990	0,152
7,680	1,996	0,140
7,700	2,003	0,139
7,720	2,008	0,138
7,740	2,014	0,137
7,760	2,020	0,137
7,780	2,026	0,135
7,800	2,032	0,135
7,820	2,037	0,134
7,840	2,043	0,133
7,860	2,049	0,132
7,880	2,055	0,132
7,900	2,061	0,131
7,920	2,067	0,130
7,940	2,073	0,130
7,960	2,079	0,129
7,980	2,084	0,128
8,000	2,091	0,118
8,020	2,097	0,102
8,040	2,102	0,123
8,060	2,108	0,125
8,080	2,114	0,124
8,100	2,120	0,123
8,120	2,126	0,122
8,140	2,131	0,122
8,160	2,137	0,121
8,180	2,143	0,120
8,200	2,149	0,119
8,220	2,155	0,119
8,240	2,161	0,118
8,260	2,167	0,117
8,280	2,173	0,116
8,300	2,179	0,116
8,320	2,184	0,114
8,340	2,190	0,113
8,360	2,195	0,113
8,380	2,201	0,112
8,400	2,207	0,111
8,420	2,213	0,110
8,440	2,218	0,109
8,460	2,224	0,108
8,480	2,230	0,108
8,500	2,237	0,107
8,520	2,242	0,106
8,540	2,248	0,105
8,560	2,254	0,104
8,580	2,260	0,103
8,600	2,266	0,102
8,620	2,272	0,102
8,640	2,277	0,100
8,660	2,283	0,099
8,680	2,289	0,099
8,700	2,295	0,097
8,720	2,300	0,096
8,740	2,306	0,083
8,760	2,312	0,083
8,780	2,318	0,092
8,800	2,324	0,092
8,820	2,330	0,091
8,840	2,336	0,090
8,860	2,342	0,089
8,880	2,348	0,088
8,900	2,354	0,087
8,920	2,359	0,086
8,940	2,365	0,085
8,960	2,371	0,084
8,980	2,377	0,083
9,000	2,382	0,081
9,020	2,389	0,080
9,040	2,394	0,078
9,060	2,400	0,078
9,080	2,406	0,076
9,100	2,412	0,075
9,120	2,418	0,081
9,140	2,424	0,074
9,160	2,429	0,072
9,180	2,435	0,071
9,200	2,441	0,069
9,220	2,447	0,068
9,240	2,453	0,068
9,260	2,458	0,066
9,280	2,465	0,066
9,300	2,470	0,064
9,320	2,476	0,063
9,340	2,482	0,062
9,360	2,488	0,061
9,380	2,494	0,061
9,400	2,500	0,059
9,420	2,505	0,058
9,440	2,511	0,058
9,460	2,517	0,056
9,480	2,523	0,049
9,500	2,529	0,051
9,520	2,534	0,054
9,540	2,541	0,054
9,560	2,547	0,053
9,580	2,552	0,053
9,600	2,558	0,053
9,620	2,564	0,054
9,640	2,570	0,055
9,660	2,576	0,057
9,680	2,581	0,060
9,700	2,587	0,064
9,720	2,593	0,068
9,740	2,599	0,074
9,760	2,605	0,080
9,780	2,611	0,086
9,800	2,617	0,093
9,820	2,622	0,100
9,840	2,628	0,107
9,860	2,634	0,141
9,880	2,640	0,123
9,900	2,645	0,126
9,920	2,652	0,131
9,940	2,658	0,137
9,960	2,663	0,141
9,980	2,669	0,146
10,000	2,675	0,151
10,020	2,681	0,155
10,040	2,687	0,160
10,060	2,693	0,164
