Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7
0,000	0,003	0,024	0,000	0,003	0,025
0,020	0,003	0,024	0,020	0,003	0,025
0,040	0,003	0,024	0,040	0,003	0,023
0,060	0,003	0,024	0,060	0,003	0,025
0,080	0,004	0,025	0,080	0,003	0,024
0,100	0,003	0,025	0,100	0,003	0,024
0,120	0,003	0,024	0,120	0,003	0,025
0,140	0,003	0,025	0,140	0,003	0,023
0,160	0,003	0,024	0,160	0,003	0,025
0,180	0,003	0,024	0,180	0,003	0,024
0,200	0,003	0,024	0,200	0,003	0,024
0,220	0,003	0,024	0,220	0,003	0,025
0,240	0,003	0,024	0,240	0,003	0,024
0,260	0,003	0,024	0,260	0,003	0,024
0,280	0,003	0,024	0,280	0,003	0,025
0,300	0,003	0,024	0,300	0,003	0,023
0,320	0,003	0,024	0,320	0,003	0,025
0,340	0,003	0,024	0,340	0,003	0,024
0,360	0,003	0,024	0,360	0,003	0,023
0,380	0,003	0,025	0,380	0,003	0,025
0,400	0,003	0,023	0,400	0,003	0,024
0,420	0,003	0,024	0,420	0,003	0,024
0,440	0,004	0,024	0,440	0,003	0,025
0,460	0,003	0,024	0,460	0,003	0,024
0,480	0,003	0,024	0,480	0,003	0,025
0,500	0,003	0,024	0,500	0,003	0,025
0,520	0,003	0,024	0,520	0,003	0,024
0,540	0,003	0,024	0,540	0,003	0,025
0,560	0,004	0,025	0,560	0,003	0,024
0,580	0,003	0,024	0,580	0,003	0,024
0,600	0,003	0,024	0,600	0,003	0,025
0,620	0,003	0,024	0,620	0,003	0,024
0,640	0,003	0,024	0,640	0,003	0,025
0,660	0,003	0,024	0,660	0,003	0,024
0,680	0,003	0,024	0,680	0,003	0,024
0,700	0,003	0,024	0,700	0,003	0,025
0,720	0,003	0,024	0,720	0,003	0,024
0,740	0,003	0,025	0,740	0,003	0,025
0,760	0,003	0,024	0,760	0,003	0,025
0,780	0,003	0,024	0,780	0,003	0,024
0,800	0,003	0,024	0,800	0,003	0,025
0,820	0,003	0,024	0,820	0,003	0,025
0,840	0,003	0,024	0,840	0,003	0,025
0,860	0,003	0,024	0,860	0,004	0,026
0,880	0,003	0,024	0,880	0,003	0,024
