Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10
0,000	0,008	0,011
0,020	0,008	0,011
0,040	0,008	0,011
0,060	0,007	0,010
0,080	0,007	0,011
0,100	0,008	0,011
0,120	0,008	0,011
0,140	0,008	0,011
0,160	0,008	0,011
0,180	0,008	0,011
0,200	0,009	0,016
0,220	0,008	0,009
0,240	0,011	0,017
0,260	0,673	2,457
0,280	0,012	-0,059
0,300	0,017	-1,270E-4
0,320	0,023	0,012
0,340	0,029	0,017
0,360	0,034	0,017
0,380	0,039	0,019
0,400	0,045	0,022
0,420	0,050	0,022
0,440	0,056	0,020
0,460	0,061	0,022
0,480	0,067	0,023
0,500	0,081	0,046
0,520	0,094	0,036
0,540	0,084	-0,006
0,560	0,089	0,022
0,580	0,104	0,053
0,600	0,111	0,042
0,620	0,115	0,027
0,640	0,114	0,020
0,660	0,116	0,022
0,680	0,121	0,025
0,700	0,126	0,026
0,720	0,132	0,028
0,740	0,138	0,027
0,760	0,143	0,027
0,780	0,148	0,028
0,800	0,153	0,028
0,820	0,159	0,028
0,840	0,164	0,028
0,860	0,170	0,030
0,880	0,175	0,030
0,900	0,181	0,032
0,920	0,186	0,030
0,940	0,191	0,031
0,960	0,197	0,034
0,980	0,202	0,044
1,000	0,208	0,033
1,020	0,213	0,033
1,040	0,218	0,033
1,060	0,223	0,033
1,080	0,230	0,034
1,100	0,234	0,034
1,120	0,240	0,034
1,140	0,246	0,035
1,160	0,251	0,034
1,180	0,256	0,035
1,200	0,261	0,035
1,220	0,267	0,036
1,240	0,272	0,036
1,260	0,278	0,036
1,280	0,283	0,036
1,300	0,289	0,037
1,320	0,294	0,026
1,340	0,300	0,034
1,360	0,304	0,036
1,380	0,310	0,037
1,400	0,315	0,038
1,420	0,320	0,037
1,440	0,325	0,038
1,460	0,331	0,038
1,480	0,336	0,038
1,500	0,341	0,038
1,520	0,347	0,038
1,540	0,352	0,039
1,560	0,357	0,039
1,580	0,363	0,040
1,600	0,369	0,040
1,620	0,374	0,037
1,640	0,379	0,041
1,660	0,385	0,043
1,680	0,390	0,057
1,700	0,395	0,042
1,720	0,401	0,041
1,740	0,406	0,040
1,760	0,411	0,041
1,780	0,417	0,041
1,800	0,422	0,041
1,820	0,428	0,041
1,840	0,433	0,042
1,860	0,438	0,042
1,880	0,444	0,043
1,900	0,449	0,042
1,920	0,455	0,043
1,940	0,460	0,044
1,960	0,466	0,044
1,980	0,471	0,044
2,000	0,476	0,045
2,020	0,481	0,036
2,040	0,487	0,043
2,060	0,492	0,043
2,080	0,498	0,045
2,100	0,503	0,048
2,120	0,508	0,048
2,140	0,513	0,047
2,160	0,519	0,048
2,180	0,524	0,048
2,200	0,529	0,049
2,220	0,535	0,050
2,240	0,540	0,050
2,260	0,546	0,051
2,280	0,551	0,051
2,300	0,556	0,051
2,320	0,562	0,052
2,340	0,567	0,053
2,360	0,573	0,052
2,380	0,578	0,050
